id,name,nationality,role,basePrice,matches,runs,wickets,avg,sr,econ,age,battingStyle,bowlingStyle,imageUrl,set
210,Indian BAT 210,India,BAT,5000000,110,782,0,27.61,121.68,0,20,Right-hand bat,None,,Batters 3
211,Indian BAT 211,India,BAT,2000000,60,2502,2,25.83,145.37,7.12,25,Right-hand bat,None,,Uncapped Batters
212,Overseas BOWL 212,Australia,BOWL,2000000,158,234,129,11.55,93.66,8.69,25,Left-hand bat,Left-arm chinaman,,Uncapped Bowlers
213,Indian BAT 213,India,BAT,5000000,198,3662,1,36.86,159.56,7.62,27,Right-hand bat,None,,Batters 3
214,Overseas BAT 214,Australia,BAT,2000000,33,4966,0,36.27,123.74,0,31,Left-hand bat,Right-arm fast,,Uncapped Batters
215,Overseas BAT 215,Australia,BAT,2000000,120,5232,0,29.49,130.2,0,36,Right-hand bat,None,,Uncapped Batters
216,Indian BAT 216,India,BAT,5000000,93,3045,3,44.95,137.34,8.3,25,Left-hand bat,None,,Batters 3
217,Indian BAT 217,India,BAT,5000000,199,4160,5,31.56,150.09,9.21,19,Right-hand bat,None,,Batters 3
218,Indian BOWL 218,India,BOWL,5000000,51,377,78,12.71,99.19,7.02,24,Right-hand bat,Right-arm offbreak,,Bowlers 3
219,Indian BAT 219,India,BAT,5000000,174,694,2,41.84,149.21,8.93,37,Right-hand bat,None,,Batters 3
220,Indian AR 220,India,AR,5000000,195,1062,73,25.7,148.4,8.74,34,Right-hand bat,Slow left-arm orthodox,,All-Rounders 3
221,Overseas BOWL 221,Australia,BOWL,5000000,172,327,164,7.14,92.23,7.85,29,Left-hand bat,None,,Bowlers 3
222,Overseas BAT 222,Australia,BAT,5000000,176,927,2,42.57,126.8,8.56,29,Right-hand bat,None,,Batters 3
223,Indian BOWL 223,India,BOWL,5000000,35,229,115,11.71,83.24,9.31,28,Right-hand bat,None,,Bowlers 3
224,Indian BAT 224,India,BAT,5000000,183,4019,0,29.24,154.28,0,19,Right-hand bat,Left-arm medium,,Batters 3
225,Indian BOWL 225,India,BOWL,2000000,101,133,183,11.9,99.78,6.7,35,Left-hand bat,Right-arm offbreak,,Uncapped Bowlers
226,Overseas BOWL 226,Australia,BOWL,5000000,199,154,135,10.58,92.38,7.86,23,Left-hand bat,Right-arm fast,,Bowlers 3
227,Indian BOWL 227,India,BOWL,5000000,200,324,67,9.13,99.38,7.2,30,Left-hand bat,Right-arm medium,,Bowlers 3
228,Indian BAT 228,India,BAT,5000000,185,3351,0,26.68,154.47,0,32,Right-hand bat,None,,Batters 3
229,Indian BAT 229,India,BAT,2000000,185,4226,2,25.38,125.05,9.62,22,Left-hand bat,None,,Uncapped Batters
230,Indian BAT 230,India,BAT,5000000,40,3167,5,35.69,146.07,9.67,37,Right-hand bat,None,,Batters 3
231,Indian BAT 231,India,BAT,5000000,80,5484,2,28.56,159.45,8.86,25,Left-hand bat,Right-arm legbreak,,Batters 3
232,Indian AR 232,India,AR,5000000,95,2125,80,23.76,139.83,8.07,20,Left-hand bat,Right-arm medium,,All-Rounders 3
233,Indian BAT 233,India,BAT,2000000,85,5963,0,28.44,131.74,0,29,Right-hand bat,None,,Uncapped Batters
234,Overseas BOWL 234,Australia,BOWL,5000000,33,154,126,9.58,116.24,9.28,20,Left-hand bat,Slow left-arm orthodox,,Bowlers 3
235,Overseas BAT 235,Australia,BAT,5000000,59,3611,4,30.64,129.43,7.23,36,Right-hand bat,Right-arm offbreak,,Batters 3
236,Indian BOWL 236,India,BOWL,2000000,12,494,73,12.36,109.48,7.43,34,Right-hand bat,Left-arm medium,,Uncapped Bowlers
237,Indian AR 237,India,AR,5000000,11,1388,63,22.5,141.8,8.78,33,Right-hand bat,Left-arm chinaman,,All-Rounders 3
238,Overseas BOWL 238,Australia,BOWL,5000000,113,125,164,8.7,90.47,7.28,29,Right-hand bat,Slow left-arm orthodox,,Bowlers 3
239,Overseas BAT 239,Australia,BAT,5000000,134,5125,3,48.92,150.16,10.06,24,Right-hand bat,None,,Batters 3
240,Overseas BOWL 240,Australia,BOWL,5000000,166,86,98,11.24,83.62,9.07,37,Right-hand bat,Left-arm chinaman,,Bowlers 3
241,Indian BOWL 241,India,BOWL,2000000,50,62,137,8.07,84.81,7.68,29,Right-hand bat,Right-arm offbreak,,Uncapped Bowlers
242,Overseas BOWL 242,Australia,BOWL,2000000,125,299,157,8.2,111.76,7.63,34,Left-hand bat,None,,Uncapped Bowlers
243,Overseas AR 243,Australia,AR,5000000,55,2196,71,27.49,132.14,7.73,34,Right-hand bat,Right-arm fast,,All-Rounders 3
244,Indian BAT 244,India,BAT,5000000,168,4184,2,31.98,147.59,7.25,30,Left-hand bat,None,,Batters 3
245,Indian BAT 245,India,BAT,2000000,140,5015,2,44.01,123.11,8.22,33,Left-hand bat,None,,Uncapped Batters
246,Overseas BAT 246,Australia,BAT,5000000,104,4561,2,48.35,154.46,9.61,21,Right-hand bat,None,,Batters 3
247,Overseas BAT 247,Australia,BAT,5000000,98,4888,4,20.74,147.92,10.65,37,Right-hand bat,None,,Batters 3
248,Overseas BOWL 248,Australia,BOWL,5000000,191,65,153,12.85,89.92,9.36,19,Left-hand bat,Left-arm chinaman,,Bowlers 3
249,Overseas BOWL 249,Australia,BOWL,5000000,182,294,143,9.49,109.46,7.19,24,Left-hand bat,Right-arm legbreak,,Bowlers 3
250,Indian AR 250,India,AR,5000000,163,1038,43,23.31,141.36,8.6,30,Right-hand bat,Right-arm offbreak,,All-Rounders 3
251,Indian BAT 251,India,BAT,5000000,78,5705,3,22.88,136.09,8.61,28,Left-hand bat,Right-arm fast,,Batters 3
252,Indian BOWL 252,India,BOWL,2000000,86,421,62,13.75,89.19,7.35,22,Right-hand bat,Right-arm medium,,Uncapped Bowlers
253,Indian BAT 253,India,BAT,5000000,48,5506,2,21.67,152.12,10.09,36,Left-hand bat,None,,Batters 3
254,Overseas BAT 254,Australia,BAT,2000000,47,4771,0,48.4,129.93,0,22,Right-hand bat,None,,Uncapped Batters
255,Overseas BAT 255,Australia,BAT,5000000,143,3481,4,46.51,129.89,7.98,29,Left-hand bat,None,,Batters 3
256,Indian AR 256,India,AR,5000000,182,1062,31,33.3,147.8,8.2,20,Left-hand bat,None,,All-Rounders 3
257,Overseas BOWL 257,Australia,BOWL,5000000,163,294,118,9.77,119.67,7.79,21,Right-hand bat,None,,Bowlers 3
258,Indian BOWL 258,India,BOWL,5000000,175,414,91,8.8,117.43,6.52,23,Right-hand bat,None,,Bowlers 3
259,Indian BAT 259,India,BAT,2000000,120,906,0,29.79,121.42,0,21,Right-hand bat,None,,Uncapped Batters
260,Indian BAT 260,India,BAT,5000000,66,3952,2,25.99,126.6,7.01,33,Right-hand bat,None,,Batters 3
261,Indian BOWL 261,India,BOWL,5000000,122,362,72,7.99,105.66,6.69,37,Left-hand bat,Right-arm legbreak,,Bowlers 3
262,Indian BOWL 262,India,BOWL,5000000,93,57,76,6.64,105.15,7.31,21,Left-hand bat,Right-arm legbreak,,Bowlers 3
263,Indian BAT 263,India,BAT,2000000,113,745,1,24.56,137.51,9.24,22,Right-hand bat,None,,Uncapped Batters
264,Indian BAT 264,India,BAT,2000000,20,2120,0,32.74,155.76,0,24,Left-hand bat,None,,Uncapped Batters
265,Overseas BOWL 265,Australia,BOWL,2000000,50,227,64,14.08,112.1,7.58,19,Right-hand bat,Right-arm medium,,Uncapped Bowlers
266,Indian BOWL 266,India,BOWL,2000000,171,450,150,14.64,115.02,6.66,36,Right-hand bat,Slow left-arm orthodox,,Uncapped Bowlers
267,Indian AR 267,India,AR,5000000,190,2583,82,24.41,142.56,8.78,35,Right-hand bat,Right-arm legbreak,,All-Rounders 3
268,Overseas AR 268,Australia,AR,5000000,49,987,38,33.88,137.3,9.19,25,Left-hand bat,Slow left-arm orthodox,,All-Rounders 3
269,Overseas BOWL 269,Australia,BOWL,5000000,179,340,63,9.95,118.73,7.73,21,Right-hand bat,Left-arm medium,,Bowlers 3
270,Indian BOWL 270,India,BOWL,2000000,185,356,105,13.37,98.85,9.42,20,Right-hand bat,None,,Uncapped Bowlers
271,Overseas AR 271,Australia,AR,5000000,180,2324,33,31.94,132.48,7.91,28,Left-hand bat,Left-arm chinaman,,All-Rounders 3
272,Overseas BAT 272,Australia,BAT,2000000,199,3379,1,48.86,150.43,10.4,24,Right-hand bat,Slow left-arm orthodox,,Uncapped Batters
273,Overseas AR 273,Australia,AR,5000000,92,2396,49,25.55,148.44,9.35,30,Left-hand bat,Right-arm fast,,All-Rounders 3
274,Overseas BOWL 274,Australia,BOWL,5000000,140,164,157,13.6,117.42,8.53,25,Left-hand bat,Slow left-arm orthodox,,Bowlers 3
275,Indian BOWL 275,India,BOWL,2000000,88,433,70,10.02,85.79,8.75,25,Left-hand bat,Left-arm medium,,Uncapped Bowlers
276,Overseas BOWL 276,Australia,BOWL,5000000,11,211,89,8.73,100.49,8.64,38,Right-hand bat,Left-arm fast,,Bowlers 3
277,Indian BAT 277,India,BAT,2000000,138,5935,5,26.33,138,9.97,30,Left-hand bat,Slow left-arm orthodox,,Uncapped Batters
278,Indian BAT 278,India,BAT,5000000,76,4616,0,25.4,153.82,0,34,Left-hand bat,Left-arm medium,,Batters 3
279,Indian BAT 279,India,BAT,2000000,13,3106,0,23.79,139.51,0,23,Left-hand bat,None,,Uncapped Batters
280,Indian BOWL 280,India,BOWL,2000000,92,495,144,7.44,105.38,7.17,31,Right-hand bat,None,,Uncapped Bowlers
281,Indian BAT 281,India,BAT,2000000,187,1029,3,37.13,154.05,9.77,25,Left-hand bat,Right-arm medium,,Uncapped Batters
282,Indian BAT 282,India,BAT,2000000,24,4975,2,46.18,143.52,8.64,37,Left-hand bat,Right-arm fast,,Uncapped Batters
283,Indian BAT 283,India,BAT,2000000,40,1727,2,42.33,153.97,8.91,36,Right-hand bat,Right-arm fast,,Uncapped Batters
284,Overseas BOWL 284,Australia,BOWL,2000000,126,340,186,12.79,114.27,7.91,24,Left-hand bat,Left-arm fast,,Uncapped Bowlers
285,Indian BOWL 285,India,BOWL,2000000,15,466,68,10.12,100.4,9.3,32,Right-hand bat,Right-arm offbreak,,Uncapped Bowlers
286,Indian BOWL 286,India,BOWL,2000000,83,12,100,6.2,102.15,9.35,37,Left-hand bat,None,,Uncapped Bowlers
287,Indian BOWL 287,India,BOWL,5000000,177,482,153,7.97,111.12,7.78,22,Right-hand bat,Left-arm chinaman,,Bowlers 3
288,Indian AR 288,India,AR,5000000,132,1166,30,33.34,141.96,9.22,26,Right-hand bat,Left-arm medium,,All-Rounders 3
289,Overseas BAT 289,Australia,BAT,2000000,75,3032,4,46.46,133.45,10.32,31,Left-hand bat,Left-arm medium,,Uncapped Batters
290,Indian BOWL 290,India,BOWL,2000000,58,403,112,7.16,113.33,8.61,32,Left-hand bat,Right-arm offbreak,,Uncapped Bowlers
291,Indian BOWL 291,India,BOWL,5000000,102,244,183,12.97,88.2,6.7,30,Left-hand bat,Right-arm medium,,Bowlers 3
292,Indian BAT 292,India,BAT,2000000,175,2258,5,22.89,140.37,9.59,29,Left-hand bat,None,,Uncapped Batters
293,Indian AR 293,India,AR,5000000,22,2118,41,26.44,135.17,9.17,36,Left-hand bat,Right-arm legbreak,,All-Rounders 3
294,Indian BAT 294,India,BAT,5000000,113,5456,5,42.16,155.41,8.6,35,Right-hand bat,None,,Batters 3
295,Indian BAT 295,India,BAT,2000000,160,1606,3,37.04,143.72,10.79,27,Right-hand bat,Left-arm chinaman,,Uncapped Batters
296,Indian AR 296,India,AR,5000000,183,896,84,25.77,144.12,8.93,23,Left-hand bat,Slow left-arm orthodox,,All-Rounders 3
297,Indian BOWL 297,India,BOWL,5000000,118,393,110,14.11,104.35,8.83,25,Left-hand bat,Right-arm legbreak,,Bowlers 3
298,Overseas BOWL 298,Australia,BOWL,2000000,113,410,117,5.82,100.52,8.19,28,Right-hand bat,Left-arm fast,,Uncapped Bowlers
299,Indian BOWL 299,India,BOWL,5000000,30,334,137,13.43,86.87,6.73,38,Left-hand bat,Left-arm medium,,Bowlers 3
300,Indian BAT 300,India,BAT,5000000,72,2369,5,32.83,152.62,8.92,22,Left-hand bat,Slow left-arm orthodox,,Batters 3
